english,asl_gloss
I need to buy a small hammer,HAMMER SMALL I NEED BUY.
I am searching for old photos,PHOTOS OLD I SEARCHING FOR.
I want to learn to code,CODE I WANT LEARN.
I need a new pair of boots,BOOTS PAIR NEW I NEED.
The soup is bland,SOUP BLAND.
I will clean the gutters,GUTTERS I WILL CLEAN.
I need to find the exit sign,EXIT SIGN I NEED FIND.
I am happy to start this project,PROJECT THIS I HAPPY START.
I want to try rock climbing,ROCK CLIMBING I WANT TRY.
I need a large whiteboard,WHITEBOARD LARGE I NEED.
The dog is barking loudly,DOG BARK LOUDLY.
I will organize my contacts,CONTACTS I WILL ORGANIZE.
I need to check the water level,WATER LEVEL I NEED CHECK.
I am worried about my grades,GRADES MY I WORRIED ABOUT.
I want to be more polite,POLITE MORE I WANT BE.
I need a heavy duty chain,CHAIN HEAVY DUTY I NEED.
The clock is accurate,CLOCK ACCURATE.
I will sweep the porch,PORCH I WILL SWEEP.
I need to buy an oven mitt,OVEN MITT I NEED BUY.
I am reading a biography,BIOGRAPHY I READING.
I want to learn about mythology,MYTHOLOGY I WANT LEARN ABOUT.
I need a set of wrenches,WRENCHES SET I NEED.
The floor is dusty,FLOOR DUSTY.
I will wash the car,CAR I WILL WASH.
I need to find a restroom,RESTROOM I NEED FIND.
I am feeling exhausted,I FEEL EXHAUSTED.
I want to buy a comfortable couch,COUCH COMFORTABLE I WANT BUY.
I need a box of light bulbs,LIGHT BULBS BOX I NEED.
The window is dirty,WINDOW DIRTY.
I will fold the towels,TOWELS I WILL FOLD.
I need to check the car alignment,CAR ALIGNMENT I NEED CHECK.
I am thinking about my childhood,CHILDHOOD MY I THINKING ABOUT.
I want to be more social,SOCIAL MORE I WANT BE.
I need a small hand shovel,HAND SHOVEL SMALL I NEED.
The music is distracting,MUSIC DISTRACTING.
I will bring my own drink,DRINK OWN I WILL BRING.
I need to find the remote control,REMOTE CONTROL I NEED FIND.
I am planning a trip next year,NEXT YEAR TRIP I PLANNING.
I want to try windsurfing,WINDSURFING I WANT TRY.
I need a desk calendar,DESK CALENDAR I NEED.
The bag is light,BAG LIGHT.
I will check the front light,FRONT LIGHT I WILL CHECK.
I need to buy a bicycle lock,BICYCLE LOCK I NEED BUY.
I am going to the mountains,I GO MOUNTAINS.
I want to learn to play darts,DARTS I WANT LEARN PLAY.
I need a picture hanging kit,PICTURE HANGING KIT I NEED.
The gate is open,GATE OPEN.
I will write a thank-you email,THANK-YOU EMAIL I WILL WRITE.
I need to check the circuit breaker,CIRCUIT BREAKER I NEED CHECK.
I am feeling curious,I FEEL CURIOUS.
I want to buy a pair of jeans,JEANS PAIR I WANT BUY.
I need a box of matches,MATCHES BOX I NEED.
The weather is stormy,WEATHER STORMY.
I will take a bus,BUS I WILL TAKE.
I need to find the correct key,KEY CORRECT I NEED FIND.
I am looking for a quiet spot,SPOT QUIET I LOOKING FOR.
I want to learn about finance,FINANCE I WANT LEARN ABOUT.
I need a small trash bin,TRASH BIN SMALL I NEED.
The coffee is perfect,COFFEE PERFECT.
I will put away the dishes,DISHES I WILL PUT-AWAY.
I need to buy a door bell,DOOR BELL I NEED BUY.
I am going to a meeting,I GO MEETING.
I want to visit a cabin,CABIN I WANT VISIT.
I need a new doormat,DOORMAT NEW I NEED.
The room is spacious,ROOM SPACIOUS.
I will clean the baseboards,BASEBOARDS I WILL CLEAN.
I need to find the security code,SECURITY CODE I NEED FIND.
I am feeling sleepy,I FEEL SLEEPY.
I want to be on time,ON TIME I WANT BE.
I need a set of measuring cups,MEASURING CUPS SET I NEED.
The water is shallow,WATER SHALLOW.
I will check the back window,BACK WINDOW I WILL CHECK.
I need to buy new headphones,HEADPHONES NEW I NEED BUY.
I am thinking about dinner plans,DINNER PLANS I THINKING ABOUT.
I want to try knitting,KNITTING I WANT TRY.
I need a new shower curtain,SHOWER CURTAIN NEW I NEED.
The fire alarm is loud,FIRE ALARM LOUD.
I will turn off the stove,STOVE I WILL TURN-OFF.
I need to find my parking ticket,PARKING TICKET MY I NEED FIND.
I am going to the airport,I GO AIRPORT.
I want to take a dance class,DANCE CLASS I WANT TAKE.
I need a roll of duct tape,DUCT TAPE ROLL I NEED.
The traffic is light,TRAFFIC LIGHT.
I will bring a folding chair,FOLDING CHAIR I WILL BRING.
I need to check the brake fluid,BRAKE FLUID I NEED CHECK.
I am looking for my sweater,SWEATER MY I LOOKING FOR.
I want to learn about biology,BIOLOGY I WANT LEARN ABOUT.
I need a small desk fan,DESK FAN SMALL I NEED.
The tea is cold,TEA COLD.
I will write a short story,STORY SHORT I WILL WRITE.
I need to buy new batteries,BATTERIES NEW I NEED BUY.
I am feeling hungry,I FEEL HUNGRY.
I want to buy a pair of shorts,SHORTS PAIR I WANT BUY.
I need a picture wire,PICTURE WIRE I NEED.
The music is fast,MUSIC FAST.
I need to seal the windows,WINDOWS I NEED SEAL.
The movie was confusing,MOVIE CONFUSING WAS.
I will visit a friend's house,FRIEND HOUSE I WILL VISIT.
I need to buy a water dispenser,WATER DISPENSER I NEED BUY.
I am looking for my notebook,NOTEBOOK MY I LOOKING FOR.
I want to learn to bake bread,BAKE BREAD I WANT LEARN.
I need a new mouse pad,MOUSE PAD NEW I NEED.
The milk is expired,MILK EXPIRED.
I will sweep the kitchen floor,KITCHEN FLOOR I WILL SWEEP.
I need to find the charging cable,CHARGING CABLE I NEED FIND.
I am happy to help you,YOU I HAPPY HELP.
I want to try horseback riding,HORSEBACK RIDING I WANT TRY.
I need a large wall mirror,WALL MIRROR LARGE I NEED.
The bird is singing,BIRD SINGING.
I will organize the cabinet,CABINET I WILL ORGANIZE.
I need to check the tire pressure,TIRE PRESSURE I NEED CHECK.
I am tired of this routine,ROUTINE THIS I TIRED OF.
I want to be more thoughtful,THOUGHTFUL MORE I WANT BE.
I need a smoke detector,SMOKE DETECTOR I NEED.
The sidewalk is dry,SIDEWALK DRY.
I will wash the windows,WINDOWS I WILL WASH.
I need to buy a fire blanket,FIRE BLANKET I NEED BUY.
I am reading a travel guide,TRAVEL GUIDE I READING.
I want to learn about cooking,COOKING I WANT LEARN ABOUT.
I need a gardening fork,GARDENING FORK I NEED.
The price is too high,PRICE HIGH TOO.
I will fold the clothes,CLOTHES I WILL FOLD.
I need to check the chimney,CHIMNEY I NEED CHECK.
I am waiting for a package,PACKAGE I WAITING FOR.
I want to buy a backpack,BACKPACK I WANT BUY.
I need a small rug,RUG SMALL I NEED.
The couch is soft,COUCH SOFT.
I will mop the living room,LIVING ROOM I WILL MOP.
I need to find the volume button,VOLUME BUTTON I NEED FIND.
I am looking for a library book,LIBRARY BOOK I LOOKING FOR.
I want to try ice skating,ICE SKATING I WANT TRY.
I need a new pair of earphones,EARPHONES PAIR NEW I NEED.
The coffee is strong,COFFEE STRONG.
I will put away my shoes,SHOES I WILL PUT-AWAY.
I need to buy a toothbrush holder,TOOTHBRUSH HOLDER I NEED BUY.
I am studying chemistry,CHEMISTRY I STUDYING.
I want to visit a farm,FARM I WANT VISIT.
I need a battery charger,BATTERY CHARGER I NEED.
The door is heavy,DOOR HEAVY.
I will bring a snack,SNACK I WILL BRING.
I need to check the fuel level,FUEL LEVEL I NEED CHECK.
I am planning my finances,FINANCES I PLANNING.
I want to try kayaking,KAYAKING I WANT TRY.
I need a small pillow,PILLOW SMALL I NEED.
The light is bright,LIGHT BRIGHT.
I will write a memo,MEMO I WILL WRITE.
I need to find the screwdriver,SCREWDRIVER I NEED FIND.
I am feeling relieved,I FEEL RELIEVED.
I want to buy a new jacket,JACKET NEW I WANT BUY.
I need a dust cloth,DUST CLOTH I NEED.
The cup is full,CUP FULL.
I will take a break soon,SOON I WILL TAKE BREAK.
I need to check the kitchen sink,KITCHEN SINK I NEED CHECK.
I am going to the bank,I GO BANK.
I want to learn photography,PHOTOGRAPHY I WANT LEARN.
I need a new kitchen knife,KITCHEN KNIFE NEW I NEED.
The air is cold,AIR COLD.
I will bring my glasses,GLASSES MY I WILL BRING.
I need to buy a door knob,DOOR KNOB I NEED BUY.
I am looking for a new dentist,DENTIST NEW I LOOKING FOR.
I want to be more organized,ORGANIZED MORE I WANT BE.
I need a measuring spoon set,MEASURING SPOON SET I NEED.
The window is closed,WINDOW CLOSED.
I will wash the towels,TOWELS I WILL WASH.
I need to check the car battery,CAR BATTERY I NEED CHECK.
I am thinking about my career,CAREER MY I THINKING ABOUT.
I want to try birdwatching,BIRDWATCHING I WANT TRY.
I need a set of Allen keys,ALLEN KEYS SET I NEED.
The music is slow,MUSIC SLOW.
I will call my mother,MOTHER MY I WILL CALL.
I need to find the correct wire,WIRE CORRECT I NEED FIND.
I am attending a wedding,WEDDING I ATTENDING.
I want to visit a desert,DESERT I WANT VISIT.
I need a small clock,CLOCK SMALL I NEED.
The chair is wooden,CHAIR WOODEN.
I will clean the outside table,OUTSIDE TABLE I WILL CLEAN.
I need to buy a water bottle,WATER BOTTLE I NEED BUY.
I am studying physics,PHYSICS I STUDYING.
I want to buy a new mirror,MIRROR NEW I WANT BUY.
I need a new light fixture,LIGHT FIXTURE NEW I NEED.
The road is empty,ROAD EMPTY.
I will check the volume,VOLUME I WILL CHECK.
I need to find the remote,REMOTE I NEED FIND.
I am feeling motivated,I FEEL MOTIVATED.
I want to buy a new suitcase,SUITCASE NEW I WANT BUY.
I need a pair of earplugs,EARPLUGS PAIR I NEED.
The food is delicious,FOOD DELICIOUS.
I will write a letter to the editor,LETTER EDITOR I WILL WRITE.
I need to buy a roll of foil,FOIL ROLL I NEED BUY.
I am going to the museum,I GO MUSEUM.
I want to try wakeboarding,WAKEBOARDING I WANT TRY.
I need a dustpan set,DUSTPAN SET I NEED.
The sun is warm,SUN WARM.
I need to check the air quality,AIR QUALITY I NEED CHECK.
The lecture was technical,LECTURE TECHNICAL WAS.
I will visit a friend in the hospital,FRIEND HOSPITAL IN I WILL VISIT.
I need to buy new rubber boots,BOOTS RUBBER NEW I NEED BUY.
I am searching for old coins,COINS OLD I SEARCHING FOR.
I want to learn about philosophy,PHILOSOPHY I WANT LEARN ABOUT.
I need a large cooking spoon,COOKING SPOON LARGE I NEED.
The clock is exactly correct,CLOCK CORRECT EXACTLY.
I will clean the kitchen cabinets,KITCHEN CABINETS I WILL CLEAN.
I need to find the correct folder,FOLDER CORRECT I NEED FIND.
I am happy to see your success,SUCCESS YOUR I HAPPY SEE.
I want to try gardening,GARDENING I WANT TRY.
I need a small portable grill,GRILL PORTABLE SMALL I NEED.
The car is sputtering,CAR SPUTTERING.
I will organize my music files,MUSIC FILES I WILL ORGANIZE.
I need to check the fuse box,FUSE BOX I NEED CHECK.
I am worried about my health,HEALTH MY I WORRIED ABOUT.
I want to be more patient,PATIENT MORE I WANT BE.
I need a waterproof container,CONTAINER WATERPROOF I NEED.
The book is thin,BOOK THIN.
I will wash the blankets,BLANKETS I WILL WASH.
I need to buy a dog brush,DOG BRUSH I NEED BUY.
I am reading a financial report,REPORT FINANCIAL I READING.
I want to learn about world history,WORLD HISTORY I WANT LEARN ABOUT.
I need a new broom handle,BROOM HANDLE NEW I NEED.
The shelf is dusty,SHELF DUSTY.
I will check the back tires,TIRES BACK I WILL CHECK.
I need to find a new gym,GYM NEW I NEED FIND.
I am feeling energetic now,NOW I FEEL ENERGETIC.
I want to buy a comfortable pillow,PILLOW COMFORTABLE I WANT BUY.
I need a small screwdriver,SCREWDRIVER SMALL I NEED.
The rain is light,RAIN LIGHT.
I will fold the shirts,SHIRTS I WILL FOLD.
I need to check the door frame,DOOR FRAME I NEED CHECK.
I am thinking about our plans,PLANS OUR I THINKING ABOUT.
I want to try painting pottery,POTTERY PAINTING I WANT TRY.
I need a small mirror,MIRROR SMALL I NEED.
The phone is muted,PHONE MUTED.
I will bring a map,MAP I WILL BRING.
I need to find the power cord,POWER CORD I NEED FIND.
I am planning a big event,EVENT BIG I PLANNING.
I want to run a few miles,MILES FEW I WANT RUN.
I need a new cutting mat,CUTTING MAT NEW I NEED.
The light bulb is dim,LIGHT BULB DIM.
I will write a list of tasks,TASKS LIST I WILL WRITE.
I need to buy a bicycle helmet,BICYCLE HELMET I NEED BUY.
I am going to a meeting,I GO MEETING.
I want to learn to juggle,JUGGLE I WANT LEARN.
I need a desk blotter,DESK BLOTTER I NEED.
The traffic is stopped,TRAFFIC STOPPED.
I will check the gas cap,GAS CAP I WILL CHECK.
I need to find the main switch,SWITCH MAIN I NEED FIND.
I am feeling nostalgic,I FEEL NOSTALGIC.
I want to buy a new coat,COAT NEW I WANT BUY.
I need a set of tea towels,TEA TOWELS SET I NEED.
The chair is wobbly,CHAIR WOBBLY.
I will clean the bathroom floor,BATHROOM FLOOR I WILL CLEAN.
I need to check the appliance cord,APPLIANCE CORD I NEED CHECK.
I am looking for a good novel,NOVEL GOOD I LOOKING FOR.
I want to try ceramics,CERAMICS I WANT TRY.
I need a small rolling pin,ROLLING PIN SMALL I NEED.
The water is cloudy,WATER CLOUDY.
I will call a taxi,TAXI I WILL CALL.
I need to buy a new leash,LEASH NEW I NEED BUY.
I am studying literature,LITERATURE I STUDYING.
I want to visit a national park,NATIONAL PARK I WANT VISIT.
I need a new key ring,KEY RING NEW I NEED.
The movie was sad,MOVIE SAD WAS.
I will check the mailbox,MAILBOX I WILL CHECK.
I need to find the instruction manual,INSTRUCTION MANUAL I NEED FIND.
I am going to the library,I GO LIBRARY.
I want to take a swimming lesson,SWIMMING LESSON I WANT TAKE.
I need a rubber sink stopper,SINK STOPPER RUBBER I NEED.
The music is distracting,MUSIC DISTRACTING.
I will bring a jacket,JACKET I WILL BRING.
I need to buy a water spray bottle,WATER SPRAY BOTTLE I NEED BUY.
I am planning my meals,MEALS I PLANNING.
I want to try roller skating,ROLLER SKATING I WANT TRY.
I need a pair of work gloves,WORK GLOVES PAIR I NEED.
The window is open,WINDOW OPEN.
I will check the oven temperature,OVEN TEMPERATURE I WILL CHECK.
I need to find the remote for the fan,FAN REMOTE I NEED FIND.
I am thinking about our vacation,VACATION OUR I THINKING ABOUT.
I want to be a mentor,MENTOR I WANT BE.
I need a new desk lamp,DESK LAMP NEW I NEED.
The phone is charging,PHONE CHARGING.
I will write a postcard,POSTCARD I WILL WRITE.
I need to buy a box of tissues,TISSUES BOX I NEED BUY.
I am feeling alert,I FEEL ALERT.
I want to buy a small backpack,BACKPACK SMALL I WANT BUY.
I need a small corkscrew,CORKSCREW SMALL I NEED.
The road is slippery,ROAD SLIPPERY.
I will check the front window,FRONT WINDOW I WILL CHECK.
I need to find the ticket stub,TICKET STUB I NEED FIND.
I am going to the hair salon,I GO HAIR SALON.
I want to learn to invest,INVEST I WANT LEARN.
I need a weather radio,WEATHER RADIO I NEED.
The tea is hot,TEA HOT.
English,ASL_Gloss
I need to check the oil change sticker,OIL CHANGE STICKER I NEED CHECK.
The lecture was inspiring,LECTURE INSPIRING WAS.
I will visit an art gallery,ART GALLERY I WILL VISIT.
I need to buy new hiking socks,HIKING SOCKS NEW I NEED BUY.
I am looking for my phone charger,PHONE CHARGER MY I LOOKING FOR.
I want to learn about poetry,POETRY I WANT LEARN ABOUT.
I need a set of kitchen utensils,KITCHEN UTENSILS SET I NEED.
The clock is ticking slowly,CLOCK TICKING SLOWLY.
I will clean the windowsills,WINDOWSILLS I WILL CLEAN.
I need to find a public library,LIBRARY PUBLIC I NEED FIND.
I am happy to be finished,FINISHED I HAPPY BE.
I want to try photography,PHOTOGRAPHY I WANT TRY.
I need a large cooking pot,COOKING POT LARGE I NEED.
The air is stagnant,AIR STAGNANT.
I will organize my emails,EMAILS I WILL ORGANIZE.
I need to check the furnace,FURNACE I NEED CHECK.
I am worried about the cost of school,SCHOOL COST I WORRIED ABOUT.
I want to be more proactive,PROACTIVE MORE I WANT BE.
I need a fire safe box,FIRE SAFE BOX I NEED.
The book is long,BOOK LONG.
I will wash the bedspread,BEDSPREAD I WILL WASH.
I need to buy a dog kennel,DOG KENNEL I NEED BUY.
I am reading a historical novel,NOVEL HISTORICAL I READING.
I want to learn about human rights,HUMAN RIGHTS I WANT LEARN ABOUT.
I need a stapler,STAPLER I NEED.
The door is sticking,DOOR STICKING.
I will check the water meter,WATER METER I WILL CHECK.
I need to find the correct aisle,AISLE CORRECT I NEED FIND.
I am feeling discouraged,I FEEL DISCOURAGED.
I want to buy a new recliner,RECLINER NEW I WANT BUY.
I need a desk chair,DESK CHAIR I NEED.
The weather is changing,WEATHER CHANGING.
I will wipe down the walls,WALLS I WILL WIPE DOWN.
I need to buy new windshield fluid,WINDSHIELD FLUID NEW I NEED BUY.
I am thinking about my goals,GOALS MY I THINKING ABOUT.
I want to try paddleboarding,PADDLEBOARDING I WANT TRY.
I need a cork board,CORK BOARD I NEED.
The coffee is lukewarm,COFFEE LUKEWARM.
I will bring a side dish,SIDE DISH I WILL BRING.
I need to find the nearest exit,EXIT NEAREST I NEED FIND.
I am planning a surprise,SURPRISE I PLANNING.
I want to run in a race,RACE I WANT RUN.
I need a small filing cabinet,FILING CABINET SMALL I NEED.
The grass is tall,GRASS TALL.
I will check the back fence,BACK FENCE I WILL CHECK.
I need to buy a new shovel,SHOVEL NEW I NEED BUY.
I am visiting a cousin,COUSIN I VISITING.
I want to learn a foreign language,LANGUAGE FOREIGN I WANT LEARN.
I need a desk light,DESK LIGHT I NEED.
The phone is vibrating,PHONE VIBRATING.
I will organize the pantry,PANTRY I WILL ORGANIZE.
I need to find my immunization record,IMMUNIZATION RECORD MY I NEED FIND.
I am feeling energetic,I FEEL ENERGETIC.
I want to buy a leather jacket,JACKET LEATHER I WANT BUY.
I need a small portable speaker,SPEAKER PORTABLE SMALL I NEED.
The water is running fast,WATER RUNNING FAST.
I will write a thank you letter,THANK YOU LETTER I WILL WRITE.
I need to check the car manual,CAR MANUAL I NEED CHECK.
I am going to the barbershop,I GO BARBERSHOP.
I want to take a cooking demonstration,COOKING DEMONSTRATION I WANT TAKE.
I need a pair of noise-canceling headphones,HEADPHONES NOISE-CANCELING PAIR I NEED.
The clock is broken,CLOCK BROKEN.
I will bring my computer,COMPUTER MY I WILL BRING.
I need to buy a set of dishes,DISHES SET I NEED BUY.
I am looking for my birth certificate,BIRTH CERTIFICATE MY I LOOKING FOR.
I want to try watercolor painting,PAINTING WATERCOLOR I WANT TRY.
I need a small garden table,GARDEN TABLE SMALL I NEED.
The noise is very faint,NOISE FAINT VERY.
I will check the oven timer,OVEN TIMER I WILL CHECK.
I need to find the correct password,PASSWORD CORRECT I NEED FIND.
I am thinking about my family,FAMILY MY I THINKING ABOUT.
I want to be more grateful,GRATEFUL MORE I WANT BE.
I need a set of plastic containers,CONTAINERS PLASTIC SET I NEED.
The music is therapeutic,MUSIC THERAPEUTIC.
I will turn on the porch light,PORCH LIGHT I WILL TURN ON.
I need to buy a dog bed,DOG BED I NEED BUY.
I am reading a science journal,SCIENCE JOURNAL I READING.
I want to learn about engineering,ENGINEERING I WANT LEARN ABOUT.
I need a new yoga mat,YOGA MAT NEW I NEED.
The grass is dry,GRASS DRY.
I will clean the shower door,SHOWER DOOR I WILL CLEAN.
I need to check the house siding,HOUSE SIDING I NEED CHECK.
I am excited about the progress,PROGRESS I EXCITED ABOUT.
I want to buy a new tie,TIE NEW I WANT BUY.
I need a small handheld vacuum,HANDHELD VACUUM SMALL I NEED.
The movie was realistic,MOVIE REALISTIC WAS.
I will organize the laundry room,LAUNDRY ROOM I WILL ORGANIZE.
I need to find the flash drive,FLASH DRIVE I NEED FIND.
I am going to the bank today,TODAY I GO BANK.
I want to try deep-sea fishing,DEEP-SEA FISHING I WANT TRY.
I need a new pair of running shoes,RUNNING SHOES PAIR NEW I NEED.
The sidewalk is cracked,SIDEWALK CRACKED.
I will check the thermostat,THERMOSTAT I WILL CHECK.
I need to buy a box of tea bags,TEA BAGS BOX I NEED BUY.
I am thinking about tomorrow's schedule,TOMORROW SCHEDULE I THINKING ABOUT.
I want to be a better listener,LISTENER BETTER I WANT BE.
I need a fireproof safe,SAFE FIREPROOF I NEED.
The car is running smoothly,CAR RUNNING SMOOTHLY.
I need to check the house alarm,HOUSE ALARM I NEED CHECK.
The movie was highly recommended,MOVIE RECOMMENDED HIGHLY.
I will visit a botanical garden,BOTANICAL GARDEN I WILL VISIT.
I need to buy a pair of wool gloves,GLOVES WOOL PAIR I NEED BUY.
I am searching for old recipes,RECIPES OLD I SEARCHING FOR.
I want to learn about economics,ECONOMICS I WANT LEARN ABOUT.
I need a large wooden spoon,WOODEN SPOON LARGE I NEED.
The clock is two minutes slow,CLOCK TWO MINUTES SLOW.
I will clean the light fixtures,LIGHT FIXTURES I WILL CLEAN.
I need to find a luggage cart,LUGGAGE CART I NEED FIND.
I am happy to be included,INCLUDED I HAPPY BE.
I want to try fishing,FISHING I WANT TRY.
I need a small portable heater,HEATER PORTABLE SMALL I NEED.
The soup is flavorful,SOUP FLAVORFUL.
I will organize my clothing,CLOTHING MY I WILL ORGANIZE.
I need to check the garage door,GARAGE DOOR I NEED CHECK.
I am worried about the flight delay,FLIGHT DELAY I WORRIED ABOUT.
I want to be more understanding,UNDERSTANDING MORE I WANT BE.
I need a heavy wool blanket,BLANKET WOOL HEAVY I NEED.
The book is brand new,BOOK BRAND NEW.
I will wash the dishcloths,DISHCLOTHS I WILL WASH.
I need to buy a water filter,WATER FILTER I NEED BUY.
I am reading a fantasy novel,NOVEL FANTASY I READING.
I want to learn about local politics,POLITICS LOCAL I WANT LEARN ABOUT.
I need a box of push pins,PUSH PINS BOX I NEED.
The floor is slippery,FLOOR SLIPPERY.
I will check the back door lock,BACK DOOR LOCK I WILL CHECK.
I need to find the correct channel,CHANNEL CORRECT I NEED FIND.
I am feeling refreshed,I FEEL REFRESHED.
I want to buy an electric kettle,KETTLE ELECTRIC I WANT BUY.
I need a garden rake,GARDEN RAKE I NEED.
The water is clear,WATER CLEAR.
I will fold the sheets,SHEETS I WILL FOLD.
I need to check the car windshield,CAR WINDSHIELD I NEED CHECK.
I am thinking about our friendship,FRIENDSHIP OUR I THINKING ABOUT.
I want to try cross-stitching,CROSS-STITCHING I WANT TRY.
I need a set of measuring spoons,MEASURING SPOONS SET I NEED.
The movie is suspenseful,MOVIE SUSPENSEFUL.
I will bring my rain gear,RAIN GEAR MY I WILL BRING.
I need to find the address label,ADDRESS LABEL I NEED FIND.
I am planning a small get-together,GET-TOGETHER SMALL I PLANNING.
I want to run a successful business,BUSINESS SUCCESSFUL I WANT RUN.
I need a new backpack strap,BACKPACK STRAP NEW I NEED.
The wind is gentle,WIND GENTLE.
I will organize the tool shed,TOOL SHED I WILL ORGANIZE.
I need to check the battery cables,BATTERY CABLES I NEED CHECK.
I am going to the laundromat now,NOW I GO LAUNDROMAT.
I want to learn to play darts,DARTS I WANT LEARN PLAY.
I need a rubber door stop,DOOR STOP RUBBER I NEED.
The sofa is old,SOFA OLD.
I will clean the refrigerator shelves,REFRIGERATOR SHELVES I WILL CLEAN.
I need to find the correct wrench,WRENCH CORRECT I NEED FIND.
I am feeling confused,I FEEL CONFUSED.
I want to buy a pair of running shorts,RUNNING SHORTS PAIR I WANT BUY.
I need a small wall clock,WALL CLOCK SMALL I NEED.
The soup is hot,SOUP HOT.
I will bring my camera,CAMERA MY I WILL BRING.
I need to check the air vents,AIR VENTS I NEED CHECK.
I am thinking about my childhood home,CHILDHOOD HOME MY I THINKING ABOUT.
I want to be more financially stable,FINANCIALLY STABLE MORE I WANT BE.
I need a small fire extinguisher,FIRE EXTINGUISHER SMALL I NEED.
The music is mellow,MUSIC MELLOW.
I will write a detailed report,REPORT DETAILED I WILL WRITE.
I need to find the power outlet,POWER OUTLET I NEED FIND.
I am attending a press conference,PRESS CONFERENCE I ATTENDING.
I want to visit a foreign city,CITY FOREIGN I WANT VISIT.
I need a new pair of house shoes,HOUSE SHOES PAIR NEW I NEED.
The train is late,TRAIN LATE.
I will check the back gate,BACK GATE I WILL CHECK.
I need to buy a new belt buckle,BELT BUCKLE NEW I NEED BUY.
I am looking for a quick fix,FIX QUICK I LOOKING FOR.
I want to learn about architecture,ARCHITECTURE I WANT LEARN ABOUT.
I need a pack of sticky notes,STICKY NOTES PACK I NEED.
The floor is clean,FLOOR CLEAN.
I will take an earlier flight,FLIGHT EARLIER I WILL TAKE.
I need to check the window latch,WINDOW LATCH I NEED CHECK.
I am planning my retirement,RETIREMENT I PLANNING.
I want to try volunteering,VOLUNTEERING I WANT TRY.
I need a large roll of tape,TAPE ROLL LARGE I NEED.
The lamp is antique,LAMP ANTIQUE.
I will organize my jewelry,JEWELRY MY I WILL ORGANIZE.
I need to find the instruction video,INSTRUCTION VIDEO I NEED FIND.
I am going to the mechanic,I GO MECHANIC.
I want to buy a comfortable chair,CHAIR COMFORTABLE I WANT BUY.
I need a small cutting knife,CUTTING KNIFE SMALL I NEED.
The road is clear,ROAD CLEAR.
I will check the front porch,FRONT PORCH I WILL CHECK.
I need to buy a new welcome sign,WELCOME SIGN NEW I NEED BUY.
I am feeling determined,I FEEL DETERMINED.
I want to learn sign language,SIGN LANGUAGE I WANT LEARN.
I need a weather thermometer,THERMOMETER WEATHER I NEED.
The dog is asleep,DOG ASLEEP.
I will check the thermostat setting,THERMOSTAT SETTING I WILL CHECK.
I need to buy a box of envelopes,ENVELOPES BOX I NEED BUY.
I am studying abroad next semester,NEXT SEMESTER I STUDYING ABROAD.
I want to buy a new television stand,TELEVISION STAND NEW I WANT BUY.
I need a large serving bowl,SERVING BOWL LARGE I NEED.
The movie was short,MOVIE SHORT WAS.
I need to check the house wiring,HOUSE WIRING I NEED CHECK.
The movie was based on a true story,MOVIE BASED ON TRUE STORY.
I will visit a castle ruin,CASTLE RUIN I WILL VISIT.
I need to buy a pair of snow pants,SNOW PANTS PAIR I NEED BUY.
I am searching for old letters,LETTERS OLD I SEARCHING FOR.
I want to learn about chemistry,CHEMISTRY I WANT LEARN ABOUT.
I need a large wooden cutting board,CUTTING BOARD WOODEN LARGE I NEED.
The clock is an hour fast,CLOCK ONE HOUR FAST.
I will clean the air fryer,AIR FRYER I WILL CLEAN.
I need to find the exit route,EXIT ROUTE I NEED FIND.
I am happy to be working here,WORKING HERE I HAPPY BE.
I want to try spelunking,SPELUNKING I WANT TRY.
I need a small portable fan,FAN PORTABLE SMALL I NEED.
The tea is very bitter,TEA BITTER VERY.
I will organize my recipes,RECIPES MY I WILL ORGANIZE.
I need to check the water heater,WATER HEATER I NEED CHECK.
I am worried about the test results,TEST RESULTS I WORRIED ABOUT.
I want to be more observant,OBSERVANT MORE I WANT BE.
I need a heavy duty tarp,TARP HEAVY DUTY I NEED.
The book is an anthology,BOOK ANTHOLOGY.
I will wash the curtains,CURTAINS I WILL WASH.
I need to buy a cat carrier,CAT CARRIER I NEED BUY.
I am reading a historical document,DOCUMENT HISTORICAL I READING.
I want to learn about space exploration,SPACE EXPLORATION I WANT LEARN ABOUT.
I need a box of chalk,CHALK BOX I NEED.
The paint is peeling,PAINT PEELING.
I will check the back door alarm,BACK DOOR ALARM I WILL CHECK.
I need to find the nearest ATM,ATM NEAREST I NEED FIND.
I am feeling motivated,I FEEL MOTIVATED.
I want to buy an adjustable desk,DESK ADJUSTABLE I WANT BUY.
I need a cordless drill,DRILL CORDLESS I NEED.
The water is lukewarm,WATER LUKEWARM.
I will fold the handkerchiefs,HANDKERCHIEFS I WILL FOLD.
I need to check the tire valve,TIRE VALVE I NEED CHECK.
I am thinking about our future,FUTURE OUR I THINKING ABOUT.
I want to try embroidery,EMBROIDERY I WANT TRY.
I need a set of kitchen tongs,KITCHEN TONGS SET I NEED.
The movie is action-packed,MOVIE ACTION PACKED.
I will bring my own water bottle,WATER BOTTLE OWN I WILL BRING.
I need to find the train platform,TRAIN PLATFORM I NEED FIND.
I am planning a graduation party,GRADUATION PARTY I PLANNING.
I want to run a marathon,MARATHON I WANT RUN.
